"file_name","language","transcript"
"data/train/1112259.wav","en","We would like to inform you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order. "
"data/train/58345.wav","en","to connect with Apple Support Advisor. Press 2 to listen to this message again. Or if you wish to contact us later, please call us on our toll-free number, 315-232-8257. Thank you. "
"data/train/936704.wav","en","Hello. This call is to inform you that a pre-authorized order has been placed on your name. So to authorize the order, or to talk to our representative, please press 1 or stay on the line. Thank you. Goodbye. "
"data/train/1100696.wav","en","one to start your claim. Otherwise, press 2 to speak with the billing department. "
"data/train/807777.wav","en","Thank you for choosing Hilton Hotels. We would like to inform you that thanks to the Friends and Family Rewards program, your membership is drawn to receive a complimentary stay. For further details, press 1 now. To be placed on the Do Not Call list, press 2 now. "
"data/train/520125.wav","en","On your excellent payment history, you now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process. "
"data/train/1638881759.18243_in_Family_Communication_Robocall__Amazon-SuspiciousCharge.wav","en","Hi, this is Daniel from Amazon customer service. We have seen a recent order number, AMZ0987, of iPhone 11 Pro on your account, which is billed on your card attached to your Amazon account. The amount charged in $1499. We noticed some suspicious activity on your account. So we have put in hold to this transaction. Please press 1 now. And to report please press 2. Thank you. "
"data/train/598182.wav","en","is to inform you that we just suspend your social security number because we found some suspicious activity. So if you want to know about this case, just press 1. Thank you. "
"data/train/520014.wav","en","Greetings, this is an automated message from the Disconnection Department of the Marva Power and Light to inform you that you will be experiencing a disconnection of service today within 30 minutes. Please press 1 to speak to a representative. Thank you. "
"data/train/660764.wav","en","Hi, this is Melissa with Student Support Center. I am following up in regards to your outstanding federal student loan balance. We have been trying to reach you because you are eligible for the Federal Student Loan Forgiveness Program due to the changes made in 2022. It's imperative that we speak to you as soon as possible since the student loan payment delay is about to come to an end. You can reach us directly to discuss your options at 833-631-7911. Again, that's 833-631-7911. Thank you. "
"data/train/568965.wav","en","this is Susie calling with the Vehicle Service Department. We are calling about your vehicle's manufacturer's warranty. We sent you several notices in the mail that you have yet to extend your warranty past the factory cutoff and this is a courtesy call to renew your warranty before we close the file. If you are interested in renewing your auto warranty now, please press 5 now or press 9 to be removed from our list. Hi this is Susie calling "
